item_name,item_price
"Tart Shells - Sweet, 2",464
Tuna - Fresh,1566
Appetizer - Tarragon Chicken,1194
Beer - Guiness,509
"Potatoes - Instant, Mashed",1817
"Turnip - White, Organic",1729
"Ham - Smoked, Bone - In",1864
Transfer Sheets,1008
Fireball Whisky,1248
Lettuce - Spring Mix,642
Lettuce - Red Leaf,1843
Pork - Sausage Casing,1944
Rabbit - Legs,1048
Bacardi Breezer - Strawberry,1053
Beer - Camerons Auburn,1274
Cinnamon Rolls,1973
Piping - Bags Quizna,1839
Extract Vanilla Pure,984
Spring Roll Veg Mini,552
"Pasta - Fett Alfredo, Single Serve",1753
Greens Mustard,516
Beer - Steamwhistle,1745
Pepper - Red Bell,906
Island Oasis - Banana Daiquiri,1125
Soup - Campbells Mushroom,1740
Chicken - Bones,1485
"Beef - Ox Tongue, Pickled",139
"Cheese - Manchego, Spanish",987
Stainless Steel Cleaner Vision,1961
"Chilli Paste, Sambal Oelek",916
Huck White Towels,1827
"Pork - Back, Long Cut, Boneless",958
"Wine - Red, Pinot Noir, Chateau",682
Wine - Fontanafredda Barolo,1051
Spice - Greek 1 Step,880
Chicken Breast Wing On,955
"Chocolate - Pistoles, White",1516
"Zucchini - Mini, Green",1393
Tea - Herbal Orange Spice,685
Arrowroot,363
"Tomatoes - Diced, Canned",1065
Pepper Squash,1380
Pastry - French Mini Assorted,215
Soup - Tomato Mush. Florentine,1921
Wine - Lamancha Do Crianza,1255
Sprouts Dikon,506
Compound - Orange,1681
Snails - Large Canned,1315
Wine - Jackson Triggs Okonagan,1975
Garam Marsala,1499
Container - Foam Dixie 12 Oz,228
Liquid Aminios Acid - Braggs,1520
"Pasta - Fett Alfredo, Single Serve",575
Oil - Peanut,1164
Wine - Champagne Brut Veuve,805
Miso Paste White,951
"Veal - Chops, Split, Frenched",1579
Squash - Butternut,313
Raspberries - Frozen,435
Wine - Zonnebloem Pinotage,1645
Wine - Jackson Triggs Okonagan,361
Tuna - Salad Premix,1599
Tumeric,1782
Tuna - Bluefin,296
Wine - Sogrape Mateus Rose,897
"Shrimp - 16/20, Iqf, Shell On",1924
Puree - Mocha,880
"Tuna - Canned, Flaked, Light",1140
Butter - Pod,1642
Muffin Orange Individual,1468
Rhubarb,328
"Juice - Pineapple, 48 Oz",571
"Schnappes - Peach, Walkers",1652
Artichoke - Fresh,1714
Oil - Sunflower,729
Gloves - Goldtouch Disposable,1145
Container - Clear 32 Oz,296
Dasheen,1519
Cheese - Gouda,1349
Duck - Fat,1775
Brandy Cherry - Mcguinness,1187
Lettuce - California Mix,561
Hinge W Undercut,264
Propel Sport Drink,1827
"Asparagus - White, Fresh",887
Cheese - Perron Cheddar,878
Paper Cocktail Umberlla 80 - 180,1964
Yeast Dry - Fleischman,303
"Salt - Rock, Course",295
Cabbage - Green,1836
Pasta - Angel Hair,562
Lettuce - Green Leaf,726
Wine - Cotes Du Rhone Parallele,1872
Pork - Side Ribs,188
"Pepsi, 355 Ml",1438
"Pepper - Green, Chili",1236
Glass Clear 8 Oz,132
Coffee - French Vanilla Frothy,1112
Mortadella,766
Beets - Pickled,1827
Pepper - Red Chili,534
Pastry - Raisin Muffin - Mini,155
Quinoa,1906
Milk - Buttermilk,1499
Anisette - Mcguiness,675
Beer - Maudite,1796
Frangelico,1939
Pepper - Orange,1618
"Beans - Kidney, Red Dry",1840
Slt - Individual Portions,1375
Rootbeer,635
Gooseberry,1276
Yeast Dry - Fleischman,863
"Tea - Darjeeling, Azzura",588
"Salt - Rock, Course",1058
Rabbit - Frozen,383
Fish - Bones,1406
Icecream - Dstk Strw Chseck,1392
Lamb - Sausage Casings,1406
Wine - Sauvignon Blanc,1938
Beef - Short Ribs,1970
Wine - Champagne Brut Veuve,1311
Wine - Montecillo Rioja Crianza,213
"Pasta - Fettuccine, Egg, Fresh",1410
Swordfish Loin Portions,1787
Maple Syrup,658
Curry Paste - Green Masala,1075
Beer - Fruli,1411
Sour Puss Sour Apple,1910
Wine - Guy Sage Touraine,1468
"Croissant, Raw - Mini",1572
Snapple - Iced Tea Peach,1217
Puree - Guava,1691
"Pork - Tenderloin, Fresh",1077
Veal - Slab Bacon,1696
"Oranges - Navel, 72",169
Pork Loin Bine - In Frenched,897
Bread - Rye,176
Wood Chips - Regular,1722
Dasheen,1453
Sole - Iqf,743
Cake - Box Window 10x10x2.5,427
Cheese - Grie Des Champ,1894
Okra,347
Beef Tenderloin Aaa,401
Cleaner - Lime Away,799
Kahlua,1703
Wine - Vouvray Cuvee Domaine,254
Croissants Thaw And Serve,165
Water - Evian 355 Ml,170
Squash - Sunburst,1095
Canada Dry,776
Oil - Olive,247
"Water - Mineral, Carbonated",1456
Pork - Ground,1312
Parsley - Dried,260
Wine - Placido Pinot Grigo,220
Food Colouring - Orange,666
Wine - Maipo Valle Cabernet,508
Red Cod Fillets - 225g,855
Soup Campbells Split Pea And Ham,1793
Soup Knorr Chili With Beans,661
Halibut - Steaks,1891
Soup Bowl Clear 8oz92008,1847
Mahi Mahi,1958
"Nut - Pecan, Halves",1853
Pastrami,926
Rosemary - Fresh,936
"Napkin - Cocktail,beige 2 - Ply",1376
Sauce - Vodka Blush,1550
Cheese - Brie Roitelet,1028
Milk - 2%,615
Mace,575
Vinegar - Cider,267
Pie Filling - Pumpkin,493
Tomato - Tricolor Cherry,1376
Mix - Cocktail Ice Cream,1609
Bread - Olive Dinner Roll,1565
Cucumber - Pickling Ontario,303
Pan Grease,708
Tomatoes Tear Drop,1143
Juice - Ocean Spray Kiwi,1212
Filter - Coffee,931
Pop Shoppe Cream Soda,591
Tea - Green,246
Wine - Chianti Classica Docg,997
Beef - Top Sirloin - Aaa,1812
Sauce - Demi Glace,575
V8 Splash Strawberry Banana,1826
Cabbage - Green,415
Container - Hngd Cll Blk 7x7x3,1499
Mushroom - White Button,555
Shrimp - 100 / 200 Cold Water,221
Egg Patty Fried,1531
Pork - Ground,1467
V8 - Berry Blend,1409
Chicken - Tenderloin,475
Soupcontfoam16oz 116con,1662
Wine - Pinot Noir Pond Haddock,1317
Bread - Italian Sesame Poly,272
Pork - Sausage Casing,419
Graham Cracker Mix,1441
"Doilies - 7, Paper",378
"Syrup - Monin, Amaretta",615
Puree - Strawberry,753
Pie Filling - Apple,1414
Spinach - Baby,813
Pork - Smoked Back Bacon,1147
"Beef - Tongue, Fresh",737
Lettuce - Boston Bib - Organic,397
"Nut - Pecan, Pieces",635
Chips Potato All Dressed - 43g,1307
"Trout - Rainbow, Fresh",342
"Beef - Chuck, Boneless",1915
Lettuce - Green Leaf,1731
Chocolate - Dark,725
Ecolab Silver Fusion,1641
Flower - Carnations,1973
Appetizer - Mango Chevre,1597
"Shrimp - 16/20, Iqf, Shell On",800
Muffin Chocolate Individual Wrap,1046
Coffee - Decaffeinato Coffee,913
Juice - Orangina,742
Bacardi Mojito,1558
"Pork - Loin, Boneless",1398
Apple - Custard,1136
Blouse / Shirt / Sweater,1360
Orange - Tangerine,422
Oranges,1182
"Yogurt - Cherry, 175 Gr",1719
Bay Leaf,1718
Broccoli - Fresh,541
Black Currants,887
Kellogs Cereal In A Cup,526
Blackberries,325
Yogurt - French Vanilla,976
Nacho Chips,1482
Turnip - White,1871
Thermometer Digital,869
Coffee - Frthy Coffee Crisp,294
Oil - Peanut,826
Cinnamon Buns Sticky,209
"Wine - Cahors Ac 2000, Clos",1821
Flour - Strong,1827
Nantucket Pine Orangebanana,461
Muffin Mix - Raisin Bran,250
Horseradish - Prepared,1532
Lotus Rootlets - Canned,956
Muffin Mix - Oatmeal,635
"Rum - Cream, Amarula",385
Milk - Skim,1036
"Mushrooms - Black, Dried",1800
Southern Comfort,1581
Bonito Flakes - Toku Katsuo,559
Chutney Sauce,1867
"Chicken - Wings, Tip Off",1569
Lemon Grass,107
Chevere Logs,1375
Sauce - Oyster,1731
Cheese - Swiss Sliced,123
Trueblue - Blueberry Cranberry,1105
Yeast Dry - Fermipan,514
Avocado,1002
"Chicken - Leg, Boneless",1165
Pork - Belly Fresh,995
Tea - Apple Green Tea,158
Roe - White Fish,428
Water Chestnut - Canned,1326
Sauce - Balsamic Viniagrette,1758
Bread - French Baquette,194
Soup - Campbellschix Stew,369
Lamb - Shoulder,771
"Gingerale - Schweppes, 355 Ml",1838
Crab Brie In Phyllo,694
Pernod,1674
Hot Chocolate - Individual,1197
Lotus Rootlets - Canned,221
"Corn - Cream, Canned",1408
Scallops - U - 10,1831
Cornflakes,424
Beer - Sleeman Fine Porter,1047
Puree - Mocha,916
Ecolab - Balanced Fusion,1317
Sprouts - Alfalfa,1426
"Bread - Crumbs, Bulk",658
Beef - Tenderloin - Aa,282
Wine - Duboeuf Beaujolais,809
Tea Leaves - Oolong,1014
Radish - Pickled,1253
Soup - Chicken And Wild Rice,1793
Ecolab - Power Fusion,845
Rabbit - Legs,718
"Oil - Olive, Extra Virgin",940
"Cheese - Woolwich Goat, Log",1100
Jam - Raspberry,465
Sprouts - Brussel,604
Lettuce - Spring Mix,1173
"Tortillas - Flour, 12",515
"Roe - Lump Fish, Red",761
"Chicken - Thigh, Bone In",1741
Tomato - Green,1585
"Napkin - Beverge, White 2 - Ply",413
"Thyme - Lemon, Fresh",529
Dried Peach,1710
Juice - Apple Cider,180
"Salsify, Organic",1104
Dehydrated Kelp Kombo,733
Nut - Macadamia,1463
"Lemonade - Island Tea, 591 Ml",1270
Sugar - Monocystal / Rock,613
Salmon Atl.whole 8 - 10 Lb,1149
Flax Seed,616
Yeast Dry - Fermipan,474
Banana - Leaves,1235
Cocoa Powder - Natural,513
"Juice - Apple, 1.36l",269
V8 - Vegetable Cocktail,778
Fondant - Icing,1419
Bread - Olive Dinner Roll,1753
Mushroom - Morel Frozen,384
Broom - Push,1088
Wine - Lou Black Shiraz,155
Sesame Seed Black,1436
"Bread - Pumpernickle, Rounds",121
Red Currants,1942
"Pepper - Paprika, Hungarian",531
Canadian Emmenthal,566
"Wine - Cahors Ac 2000, Clos",640
Onions - Vidalia,1070
"Crab - Claws, Snow 16 - 24",1067
Soup - Campbells Chili,1239
Pork - Smoked Back Bacon,1184
"Flour - Bran, Red",938
Carbonated Water - Peach,114
Soup - Campbells Bean Medley,963
Creme De Banane - Marie,1824
Chick Peas - Canned,1295
Cornflakes,1206
Wine - Cava Aria Estate Brut,1386
